epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.14104,0.66203,0.6713,1,0.61426,0.000232591,0.000232591,0.000232591
2,15.1995,0.61673,0.70417,1,0.5957,0.000465932,0.000465932,0.000465932
3,21.4437,0.58273,0.70923,1,0.57483,0.000694561,0.000694561,0.000694561
4,29.1106,0.59477,0.70796,1,0.59045,0.000692794,0.000692794,0.000692794
5,34.9492,0.55368,0.71302,1,0.58984,0.000685726,0.000685726,0.000685726
6,42.7557,0.54008,0.71176,1,0.59192,0.000678657,0.000678657,0.000678657
7,48.58,0.54503,0.71176,1,0.57166,0.000671588,0.000671588,0.000671588
8,56.1801,0.53009,0.71176,1,0.56787,0.00066452,0.00066452,0.00066452
9,62.347,0.52953,0.71176,1,0.59497,0.000657451,0.000657451,0.000657451
10,68.9501,0.54768,0.67004,1,0.64844,0.000650383,0.000650383,0.000650383
11,75.8348,0.53458,0.73072,1,0.57959,0.000643314,0.000643314,0.000643314
12,82.3632,0.5153,0.71429,1,0.58899,0.000636245,0.000636245,0.000636245
13,89.4311,0.51953,0.71176,1,0.57251,0.000629177,0.000629177,0.000629177
14,96.8142,0.50781,0.71429,1,0.58191,0.000622108,0.000622108,0.000622108
15,103.175,0.50174,0.70796,1,0.59863,0.00061504,0.00061504,0.00061504
16,110.531,0.50122,0.71176,1,0.56873,0.000607971,0.000607971,0.000607971
17,116.932,0.50139,0.71555,1,0.57654,0.000600902,0.000600902,0.000600902
18,123.1,0.49344,0.71049,1,0.54022,0.000593834,0.000593834,0.000593834
19,130.724,0.48426,0.72693,1,0.55566,0.000586765,0.000586765,0.000586765
20,136.772,0.48736,0.73831,1,0.57593,0.000579697,0.000579697,0.000579697
21,144.498,0.48972,0.71049,1,0.5874,0.000572628,0.000572628,0.000572628
22,150.334,0.4822,0.72187,1,0.56799,0.000565559,0.000565559,0.000565559
23,157.753,0.48068,0.71555,1,0.57092,0.000558491,0.000558491,0.000558491
24,163.686,0.48108,0.69785,1,0.5592,0.000551422,0.000551422,0.000551422
25,170.595,0.46911,0.72314,1,0.55054,0.000544354,0.000544354,0.000544354
26,176.925,0.46798,0.70038,1,0.55774,0.000537285,0.000537285,0.000537285
27,183.254,0.47609,0.7067,1,0.54492,0.000530216,0.000530216,0.000530216
28,190.667,0.46557,0.72187,1,0.53162,0.000523148,0.000523148,0.000523148
29,196.83,0.46815,0.73957,1,0.55896,0.000516079,0.000516079,0.000516079
30,204.667,0.46597,0.70796,1,0.54956,0.000509011,0.000509011,0.000509011
31,211.744,0.46101,0.71934,1,0.54822,0.000501942,0.000501942,0.000501942
32,218.427,0.46086,0.71302,1,0.53998,0.000494873,0.000494873,0.000494873
33,224.462,0.44942,0.71681,1,0.56091,0.000487805,0.000487805,0.000487805
34,230.872,0.4584,0.70796,1,0.56604,0.000480736,0.000480736,0.000480736
35,237.597,0.45555,0.71808,1,0.54187,0.000473668,0.000473668,0.000473668
36,244.523,0.44869,0.69406,1,0.55225,0.000466599,0.000466599,0.000466599
