epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.7637,0.90038,0.64602,1,0.95686,0.00332494,0.00332494,0.00332494
2,34.2802,0.91502,0.51454,1,1.05104,0.00662531,0.00662531,0.00662531
3,49.1449,0.9048,0.64602,1,0.95688,0.00989269,0.00989269,0.00989269
4,63.4365,0.8756,0.64602,1,0.97629,0.0098515,0.0098515,0.0098515
5,78.3659,0.87223,0.61188,1,0.97297,0.009802,0.009802,0.009802
6,92.8678,0.86512,0.61188,1,0.96113,0.0097525,0.0097525,0.0097525
7,107.611,0.86159,0.64602,1,0.95926,0.009703,0.009703,0.009703
8,122.113,0.86127,0.64602,1,0.96723,0.0096535,0.0096535,0.0096535
9,137.003,0.85597,0.64602,1,0.98271,0.009604,0.009604,0.009604
10,151.637,0.85834,0.64602,1,0.97762,0.0095545,0.0095545,0.0095545
11,166.492,0.854,0.64602,1,0.9651,0.009505,0.009505,0.009505
12,181.063,0.84996,0.64602,1,0.96324,0.0094555,0.0094555,0.0094555
13,195.886,0.84987,0.64602,1,0.94539,0.009406,0.009406,0.009406
14,210.674,0.85011,0.64602,1,0.97709,0.0093565,0.0093565,0.0093565
15,225.446,0.84475,0.64602,1,0.95686,0.009307,0.009307,0.009307
16,239.807,0.8517,0.64602,1,0.96104,0.0092575,0.0092575,0.0092575
17,254.615,0.84931,0.64602,1,0.95973,0.009208,0.009208,0.009208
18,269.066,0.84656,0.64602,1,0.95475,0.0091585,0.0091585,0.0091585
19,283.793,0.84247,0.64602,1,0.95658,0.009109,0.009109,0.009109
20,298.115,0.84206,0.64602,1,0.95451,0.0090595,0.0090595,0.0090595
21,312.999,0.84384,0.64602,1,0.96512,0.00901,0.00901,0.00901
22,327.482,0.83632,0.64349,1,0.96008,0.0089605,0.0089605,0.0089605
23,341.957,0.84149,0.64602,1,0.95711,0.008911,0.008911,0.008911
24,356.332,0.83482,0.64602,1,0.95094,0.0088615,0.0088615,0.0088615
