epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.76569,0.74091,0.59166,1,0.68617,0.000235264,0.000235264,0.000235264
2,12.1971,0.75744,0.58786,1,0.68799,0.000468579,0.000468579,0.000468579
3,17.9302,0.74713,0.52465,1,0.70278,0.000697181,0.000697181,0.000697181
4,23.2417,0.71757,0.56764,1,0.68499,0.000692794,0.000692794,0.000692794
5,28.9491,0.68189,0.59292,1,0.68004,0.000685726,0.000685726,0.000685726
6,34.4402,0.67685,0.58534,1,0.67383,0.000678657,0.000678657,0.000678657
7,40.3903,0.66978,0.52086,1,0.69643,0.000671588,0.000671588,0.000671588
8,45.7802,0.66697,0.59418,1,0.66364,0.00066452,0.00066452,0.00066452
9,51.6671,0.6665,0.58913,1,0.68052,0.000657451,0.000657451,0.000657451
10,57.0771,0.66609,0.59798,1,0.67787,0.000650383,0.000650383,0.000650383
11,62.7151,0.66308,0.59545,1,0.68032,0.000643314,0.000643314,0.000643314
12,68.187,0.66569,0.59418,1,0.68234,0.000636245,0.000636245,0.000636245
13,73.7744,0.66638,0.59418,1,0.67753,0.000629177,0.000629177,0.000629177
14,79.2965,0.6616,0.59418,1,0.67962,0.000622108,0.000622108,0.000622108
15,84.9123,0.66337,0.59418,1,0.67676,0.00061504,0.00061504,0.00061504
16,90.5093,0.66152,0.60683,1,0.67118,0.000607971,0.000607971,0.000607971
17,96.1078,0.66337,0.59671,1,0.68778,0.000600902,0.000600902,0.000600902
18,101.69,0.66315,0.59418,1,0.67599,0.000593834,0.000593834,0.000593834
19,107.257,0.6613,0.59418,1,0.67341,0.000586765,0.000586765,0.000586765
20,112.825,0.66232,0.59418,1,0.68966,0.000579697,0.000579697,0.000579697
21,118.425,0.66277,0.60051,1,0.67808,0.000572628,0.000572628,0.000572628
22,124,0.66368,0.59166,1,0.67425,0.000565559,0.000565559,0.000565559
23,129.516,0.66297,0.59418,1,0.6762,0.000558491,0.000558491,0.000558491
24,135.197,0.66413,0.59418,1,0.67864,0.000551422,0.000551422,0.000551422
25,140.915,0.66221,0.59418,1,0.6808,0.000544354,0.000544354,0.000544354
26,146.83,0.66234,0.59418,1,0.67543,0.000537285,0.000537285,0.000537285
27,152.795,0.66143,0.59418,1,0.6762,0.000530216,0.000530216,0.000530216
28,159.043,0.65966,0.59292,1,0.67397,0.000523148,0.000523148,0.000523148
29,165.112,0.66068,0.59671,1,0.67969,0.000516079,0.000516079,0.000516079
30,171.28,0.66059,0.59418,1,0.68136,0.000509011,0.000509011,0.000509011
31,176.838,0.66101,0.53477,1,0.68534,0.000501942,0.000501942,0.000501942
32,182.848,0.65958,0.57901,1,0.67236,0.000494873,0.000494873,0.000494873
33,188.281,0.66133,0.58028,1,0.68171,0.000487805,0.000487805,0.000487805
34,194.138,0.65921,0.58786,1,0.68331,0.000480736,0.000480736,0.000480736
35,199.56,0.65813,0.59292,1,0.6746,0.000473668,0.000473668,0.000473668
36,205.399,0.65741,0.59039,1,0.67857,0.000466599,0.000466599,0.000466599
