epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.69752,0.67401,0.69912,1,0.61389,0.000232591,0.000232591,0.000232591
2,69.7637,0.62892,0.70164,1,0.61194,0.000465932,0.000465932,0.000465932
3,74.415,0.61131,0.71049,1,0.57458,0.000694561,0.000694561,0.000694561
4,77.8279,0.59686,0.70923,1,0.56537,0.000692794,0.000692794,0.000692794
5,82.0104,0.55687,0.70038,1,0.61243,0.000685726,0.000685726,0.000685726
6,86.816,0.54576,0.71176,1,0.59033,0.000678657,0.000678657,0.000678657
7,90.5801,0.54031,0.71176,1,0.57874,0.000671588,0.000671588,0.000671588
8,94.7417,0.53789,0.71176,1,0.56848,0.00066452,0.00066452,0.00066452
9,99.4471,0.53399,0.7067,1,0.61157,0.000657451,0.000657451,0.000657451
10,103.376,0.5361,0.71176,1,0.57996,0.000650383,0.000650383,0.000650383
11,107.457,0.523,0.7067,1,0.58545,0.000643314,0.000643314,0.000643314
12,112.74,0.51698,0.71681,1,0.58752,0.000636245,0.000636245,0.000636245
13,116.735,0.51758,0.71176,1,0.57593,0.000629177,0.000629177,0.000629177
14,120.117,0.50859,0.7067,1,0.5802,0.000622108,0.000622108,0.000622108
15,125.185,0.50445,0.70923,1,0.5874,0.00061504,0.00061504,0.00061504
16,129.484,0.50598,0.71429,1,0.5719,0.000607971,0.000607971,0.000607971
17,133.014,0.50821,0.71176,1,0.57874,0.000600902,0.000600902,0.000600902
18,138.054,0.50302,0.7244,1,0.55194,0.000593834,0.000593834,0.000593834
19,143.134,0.49323,0.71808,1,0.56348,0.000586765,0.000586765,0.000586765
20,146.615,0.49393,0.72061,1,0.599,0.000579697,0.000579697,0.000579697
21,150.849,0.4977,0.71302,1,0.58521,0.000572628,0.000572628,0.000572628
22,155.678,0.49355,0.71429,1,0.57556,0.000565559,0.000565559,0.000565559
23,159.717,0.4845,0.71934,1,0.56799,0.000558491,0.000558491,0.000558491
24,163.323,0.49691,0.70923,1,0.58423,0.000551422,0.000551422,0.000551422
