epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.3486,0.68401,0.70127,1,0.60965,0.000235264,0.000235264,0.000235264
2,26.053,0.6315,0.62278,1,0.63714,0.000468579,0.000468579,0.000468579
3,37.6767,0.58895,0.71013,1,0.58796,0.000697181,0.000697181,0.000697181
4,49.8482,0.5549,0.71139,1,0.57506,0.000692794,0.000692794,0.000692794
5,61.3043,0.52335,0.68608,1,0.58594,0.000685726,0.000685726,0.000685726
6,72.8914,0.52647,0.71139,1,0.55465,0.000678657,0.000678657,0.000678657
7,86.5165,0.52501,0.71139,1,0.55776,0.000671588,0.000671588,0.000671588
8,99.5329,0.54928,0.71139,1,0.58287,0.00066452,0.00066452,0.00066452
9,112.214,0.54168,0.72405,1,0.56264,0.000657451,0.000657451,0.000657451
10,124.444,0.5369,0.71139,1,0.58419,0.000650383,0.000650383,0.000650383
11,135.749,0.50892,0.73418,1,0.56243,0.000643314,0.000643314,0.000643314
12,148.32,0.5111,0.69367,1,0.5934,0.000636245,0.000636245,0.000636245
13,160.334,0.52689,0.71139,1,0.5671,0.000629177,0.000629177,0.000629177
14,172.514,0.51922,0.71013,1,0.56487,0.000622108,0.000622108,0.000622108
15,184.696,0.50784,0.71139,1,0.56215,0.00061504,0.00061504,0.00061504
16,196.122,0.49364,0.71013,1,0.54778,0.000607971,0.000607971,0.000607971
17,207.386,0.49447,0.73418,1,0.55343,0.000600902,0.000600902,0.000600902
18,219.757,0.48305,0.71139,1,0.54053,0.000593834,0.000593834,0.000593834
19,232.155,0.47819,0.72785,1,0.54653,0.000586765,0.000586765,0.000586765
20,244.207,0.47368,0.73544,1,0.54932,0.000579697,0.000579697,0.000579697
21,255.942,0.46894,0.74557,1,0.53948,0.000572628,0.000572628,0.000572628
22,267.774,0.47339,0.7481,1,0.53516,0.000565559,0.000565559,0.000565559
23,280.288,0.47254,0.73165,1,0.53205,0.000558491,0.000558491,0.000558491
24,292.237,0.4725,0.76076,1,0.52633,0.000551422,0.000551422,0.000551422
25,304.765,0.47211,0.75443,1,0.53645,0.000544354,0.000544354,0.000544354
26,316.94,0.46315,0.7481,1,0.53836,0.000537285,0.000537285,0.000537285
27,329.014,0.46788,0.71266,1,0.53599,0.000530216,0.000530216,0.000530216
28,341.392,0.46111,0.71519,1,0.54081,0.000523148,0.000523148,0.000523148
29,354.121,0.46409,0.71772,1,0.53809,0.000516079,0.000516079,0.000516079
30,365.651,0.45605,0.73291,1,0.53425,0.000509011,0.000509011,0.000509011
31,378.414,0.46083,0.71772,1,0.53899,0.000501942,0.000501942,0.000501942
32,391.425,0.4684,0.71772,1,0.52717,0.000494873,0.000494873,0.000494873
33,403.131,0.46418,0.74937,1,0.53118,0.000487805,0.000487805,0.000487805
34,415.532,0.45612,0.74937,1,0.5271,0.000480736,0.000480736,0.000480736
