epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.89951,0.65769,0.69785,1,0.60477,0.000235264,0.000235264,0.000235264
2,12.2631,0.63008,0.68394,1,0.62758,0.000468579,0.000468579,0.000468579
3,17.8669,0.62094,0.7067,1,0.58894,0.000697181,0.000697181,0.000697181
4,23.2652,0.57992,0.68142,1,0.60986,0.000692794,0.000692794,0.000692794
5,28.8232,0.56435,0.71176,1,0.59947,0.000685726,0.000685726,0.000685726
6,34.2152,0.57099,0.70923,1,0.58601,0.000678657,0.000678657,0.000678657
7,39.7883,0.54321,0.72061,1,0.57729,0.000671588,0.000671588,0.000671588
8,45.3204,0.52574,0.71302,1,0.57003,0.00066452,0.00066452,0.00066452
9,50.9608,0.52609,0.70796,1,0.58643,0.000657451,0.000657451,0.000657451
10,56.4261,0.51959,0.70923,1,0.57673,0.000650383,0.000650383,0.000650383
11,62.0523,0.51701,0.70923,1,0.58294,0.000643314,0.000643314,0.000643314
12,67.4588,0.50981,0.71808,1,0.57624,0.000636245,0.000636245,0.000636245
13,73.0498,0.50571,0.71176,1,0.5655,0.000629177,0.000629177,0.000629177
14,78.5162,0.50409,0.71049,1,0.57038,0.000622108,0.000622108,0.000622108
15,84.1152,0.50542,0.7067,1,0.58454,0.00061504,0.00061504,0.00061504
16,89.7391,0.49987,0.70164,1,0.55678,0.000607971,0.000607971,0.000607971
17,95.2959,0.49679,0.70923,1,0.56801,0.000600902,0.000600902,0.000600902
18,100.713,0.49701,0.71808,1,0.55179,0.000593834,0.000593834,0.000593834
19,106.233,0.48905,0.71049,1,0.55406,0.000586765,0.000586765,0.000586765
20,111.847,0.49188,0.70796,1,0.57192,0.000579697,0.000579697,0.000579697
21,117.243,0.494,0.72061,1,0.56243,0.000572628,0.000572628,0.000572628
22,122.92,0.49162,0.70417,1,0.57094,0.000565559,0.000565559,0.000565559
23,128.179,0.48019,0.7244,1,0.57261,0.000558491,0.000558491,0.000558491
24,133.915,0.48516,0.71555,1,0.55741,0.000551422,0.000551422,0.000551422
25,139.16,0.48158,0.71808,1,0.55294,0.000544354,0.000544354,0.000544354
26,144.864,0.48996,0.71176,1,0.56131,0.000537285,0.000537285,0.000537285
27,150.056,0.4776,0.74083,1,0.56257,0.000530216,0.000530216,0.000530216
28,155.868,0.47186,0.73198,1,0.54276,0.000523148,0.000523148,0.000523148
29,161.23,0.47865,0.71429,1,0.5519,0.000516079,0.000516079,0.000516079
30,166.9,0.47698,0.70291,1,0.55308,0.000509011,0.000509011,0.000509011
31,172.332,0.48181,0.71808,1,0.54262,0.000501942,0.000501942,0.000501942
32,177.868,0.48027,0.7067,1,0.54904,0.000494873,0.000494873,0.000494873
33,183.347,0.47861,0.70923,1,0.55859,0.000487805,0.000487805,0.000487805
34,188.678,0.47345,0.71934,1,0.5579,0.000480736,0.000480736,0.000480736
35,194.319,0.47111,0.72566,1,0.5595,0.000473668,0.000473668,0.000473668
36,199.769,0.46461,0.72819,1,0.5452,0.000466599,0.000466599,0.000466599
37,205.571,0.46981,0.70544,1,0.55727,0.00045953,0.00045953,0.00045953
38,210.714,0.46512,0.70291,1,0.55448,0.000452462,0.000452462,0.000452462
39,216.541,0.46588,0.71934,1,0.5452,0.000445393,0.000445393,0.000445393
40,221.94,0.46737,0.73072,1,0.55685,0.000438325,0.000438325,0.000438325
41,227.814,0.46619,0.71429,1,0.55099,0.000431256,0.000431256,0.000431256
42,233.304,0.46349,0.74589,1,0.53993,0.000424187,0.000424187,0.000424187
43,239.191,0.46935,0.73198,1,0.55043,0.000417119,0.000417119,0.000417119
44,244.728,0.46295,0.7244,1,0.5362,0.00041005,0.00041005,0.00041005
45,250.477,0.46172,0.73704,1,0.54213,0.000402982,0.000402982,0.000402982
46,256.048,0.46251,0.71681,1,0.5489,0.000395913,0.000395913,0.000395913
47,261.699,0.45892,0.7067,1,0.54778,0.000388844,0.000388844,0.000388844
48,267.381,0.45756,0.72061,1,0.55385,0.000381776,0.000381776,0.000381776
49,273.087,0.46137,0.70544,1,0.5422,0.000374707,0.000374707,0.000374707
50,278.796,0.45995,0.73325,1,0.54841,0.000367639,0.000367639,0.000367639
51,284.327,0.46438,0.71176,1,0.55197,0.00036057,0.00036057,0.00036057
52,290.297,0.45666,0.71302,1,0.55078,0.000353501,0.000353501,0.000353501
53,295.99,0.45683,0.71555,1,0.54667,0.000346433,0.000346433,0.000346433
54,302.309,0.45428,0.72187,1,0.54848,0.000339364,0.000339364,0.000339364
55,308.147,0.45472,0.71808,1,0.5535,0.000332296,0.000332296,0.000332296
56,314.03,0.45148,0.70796,1,0.5505,0.000325227,0.000325227,0.000325227
57,319.855,0.45231,0.71176,1,0.54904,0.000318158,0.000318158,0.000318158
58,325.8,0.44612,0.72693,1,0.54548,0.00031109,0.00031109,0.00031109
59,331.559,0.45591,0.72061,1,0.53927,0.000304021,0.000304021,0.000304021
60,337.664,0.44724,0.72819,1,0.54171,0.000296953,0.000296953,0.000296953
61,343.269,0.43931,0.69027,1,0.53976,0.000289884,0.000289884,0.000289884
62,349.51,0.44488,0.71176,1,0.55008,0.000282815,0.000282815,0.000282815
63,355.086,0.44511,0.73198,1,0.54415,0.000275747,0.000275747,0.000275747
64,361.31,0.44568,0.70923,1,0.55594,0.000268678,0.000268678,0.000268678
65,366.943,0.44226,0.73831,1,0.56062,0.00026161,0.00026161,0.00026161
66,373.294,0.43837,0.71302,1,0.54994,0.000254541,0.000254541,0.000254541
67,378.851,0.43816,0.70291,1,0.55636,0.000247472,0.000247472,0.000247472
68,385.094,0.43573,0.72061,1,0.55301,0.000240404,0.000240404,0.000240404
69,390.932,0.43992,0.70796,1,0.54042,0.000233335,0.000233335,0.000233335
70,396.878,0.43601,0.72946,1,0.54499,0.000226267,0.000226267,0.000226267
71,402.622,0.43068,0.71934,1,0.55266,0.000219198,0.000219198,0.000219198
72,408.303,0.42499,0.70923,1,0.5422,0.000212129,0.000212129,0.000212129
73,414.363,0.42676,0.70544,1,0.5512,0.000205061,0.000205061,0.000205061
74,419.996,0.42224,0.71049,1,0.54367,0.000197992,0.000197992,0.000197992
75,425.989,0.41622,0.73072,1,0.54248,0.000190924,0.000190924,0.000190924
76,431.603,0.41745,0.71429,1,0.53986,0.000183855,0.000183855,0.000183855
77,437.658,0.41745,0.7067,1,0.54597,0.000176786,0.000176786,0.000176786
78,443.039,0.42183,0.70417,1,0.55678,0.000169718,0.000169718,0.000169718
79,449.022,0.41949,0.70544,1,0.54841,0.000162649,0.000162649,0.000162649
80,454.519,0.41318,0.71302,1,0.54646,0.000155581,0.000155581,0.000155581
81,460.511,0.40891,0.71681,1,0.54646,0.000148512,0.000148512,0.000148512
82,466.248,0.40668,0.71934,1,0.55518,0.000141443,0.000141443,0.000141443
83,472.328,0.40582,0.70923,1,0.53924,0.000134375,0.000134375,0.000134375
84,478.026,0.40962,0.72061,1,0.54429,0.000127306,0.000127306,0.000127306
85,484.064,0.39537,0.71555,1,0.5579,0.000120238,0.000120238,0.000120238
86,489.906,0.39893,0.70796,1,0.5579,0.000113169,0.000113169,0.000113169
87,495.925,0.38943,0.70923,1,0.56424,0.0001061,0.0001061,0.0001061
88,501.78,0.39801,0.70417,1,0.55783,9.90318e-05,9.90318e-05,9.90318e-05
89,507.892,0.38994,0.71429,1,0.55545,9.19632e-05,9.19632e-05,9.19632e-05
90,513.7,0.39228,0.70164,1,0.56571,8.48946e-05,8.48946e-05,8.48946e-05
91,541.185,0.38374,0.70796,1,0.54925,7.7826e-05,7.7826e-05,7.7826e-05
92,547.529,0.3803,0.70291,1,0.56466,7.07574e-05,7.07574e-05,7.07574e-05
93,553.155,0.38292,0.7067,1,0.55748,6.36888e-05,6.36888e-05,6.36888e-05
94,559.255,0.38024,0.69912,1,0.54932,5.66202e-05,5.66202e-05,5.66202e-05
